time,Shooter/D/topRollerVelocity,Shooter/D/bottomRollerVelocity,Shooter/D/getAngle,Shooter/D/getBeamBreak,Shooter/D/angleMotorPosition,Swerve/getYaw,Swerve/D/getPose,D/PDH Voltage,D/Periodic Time Delta,
52:59.584,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))",
52:59.739,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))",
52:59.919,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.60616",
53:00.070,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020001999999999964",
53:00.221,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02018399999999998",
53:00.373,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019965999999999928",
53:00.526,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019994999999999985",
53:00.677,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02001799999999987",
53:00.828,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02001900000000001",
53:00.980,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01997800000000005",
53:01.131,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020005999999999968",
53:01.283,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020021999999999984",
53:01.435,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01997800000000005",
53:01.587,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020007999999999804",
53:01.738,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019995000000000207",
53:01.889,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019966999999999846",
53:02.041,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01996100000000034",
53:02.192,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02001900000000001",
53:02.342,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02016600000000013",
53:02.493,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020017000000000174",
53:02.645,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020062999999999942",
53:02.796,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019967999999999986",
53:02.947,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020006999999999664",
53:03.097,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020081999999999933",
53:03.248,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020004999999999384",
53:03.398,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020176000000000194",
53:03.549,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01995900000000006",
53:03.699,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020049999999999457",
53:03.850,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01995999999999931",
53:04.001,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01991599999999938",
53:04.152,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01994700000000016",
53:04.302,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019991999999999344",
53:04.453,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019904999999999617",
53:04.604,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019984000000000002",
53:04.754,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01995300000000011",
53:04.905,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019995999999999903",
53:05.055,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02010800000000046",
53:05.206,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019998999999999434",
53:05.356,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02013100000000012",
