time,Shooter/D/topRollerVelocity,Shooter/D/bottomRollerVelocity,Shooter/D/getAngle,Shooter/D/getBeamBreak,Shooter/D/angleMotorPosition,Swerve/getYaw,Swerve/D/getPose,D/PDH Voltage,D/Periodic Time Delta,
18:21.708,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))",
18:21.862,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.926792",
18:22.013,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.926792",
18:22.755,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.926792",
18:22.906,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.926792",
18:23.057,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.926792",
18:23.758,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.926792",
18:23.909,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:24.060,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:24.762,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:24.912,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:25.063,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:25.765,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:25.916,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:26.066,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:26.767,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:26.919,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:27.070,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:27.770,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:27.921,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:28.071,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:28.773,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:28.923,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:29.074,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:29.775,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:29.926,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:30.076,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:30.779,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:30.929,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","1.9804110000000001",
18:31.080,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","7.321277",
18:31.793,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","7.321277",
18:31.943,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","7.321277",
18:32.094,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","7.321277",
18:32.783,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","7.321277",
18:32.934,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","7.321277",
18:33.085,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","7.321277",
18:33.235,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","7.321277",
